unix,low,high,open,close,volume,date,vol_fiat
1623283200,40.2232,46.2402,45.9521,40.8629,72117.555,2021-06-10,2946932.4382095
1623196800,40.6109,50.12,42.601,45.962,138886.289,2021-06-09,6383491.615018
1623110400,40.0,45.0285,43.6404,42.5972,90726.467,2021-06-08,3864693.4600924
1623024000,43.0331,49.6549,48.3238,43.6473,88382.138,2021-06-07,3857641.6919274004
1622937600,47.554,52.7416,48.6006,48.2031,203806.747,2021-06-06,9824117.0063157
1622851200,46.1678,56.4322,47.2924,48.6332,366309.324,2021-06-05,17814794.615956802
1622764800,45.021,50.2653,50.0496,47.2413,103705.804,2021-06-04,4899196.9985052
1622678400,48.6,54.0,49.2099,50.0411,194793.353,2021-06-03,9747673.6568083
1622592000,48.35,50.7018,49.1332,49.2059,74857.602,2021-06-02,3683435.6782518
1622505600,48.3485,53.5449,52.2003,49.1508,166903.611,2021-06-01,8203446.0035387995
1622419200,50.1989,54.9,52.66,52.1711,180010.851,2021-05-31,9391364.1086061
1622332800,49.9188,62.0,54.5749,52.69,643397.02,2021-05-30,33900588.9838
1622246400,39.7453,68.8638,40.558,54.5367,1213574.558,2021-05-29,66184351.5972786
1622160000,39.845,48.5008,47.8699,40.4791,78273.42,2021-05-28,3168437.595522
1622073600,45.1,54.3251,53.3753,47.8344,306012.159,2021-05-27,14637908.0184696
1621987200,41.2388,60.0367,42.5467,53.3752,274918.845,2021-05-26,14673848.335644
1621900800,38.3436,43.5606,40.5056,42.5377,70263.788,2021-05-25,2988859.9348076
1621814400,33.0373,43.7,34.4393,40.4772,158489.055,2021-05-24,6415193.177046
1621728000,28.0,42.9999,37.8,34.3424,246184.271,2021-05-23,8454558.7083904
1621641600,35.3708,42.5655,40.3747,37.9687,68880.698,2021-05-22,2615310.5581526
1621555200,37.5429,53.0,48.851,40.3612,97790.975,2021-05-21,3946961.10017
1621468800,36.4844,51.5875,40.5646,48.854,144910.234,2021-05-20,7079444.571835999
1621382400,37.839,62.8051,61.923,40.5532,231313.543,2021-05-19,9380504.3719876
1621296000,60.4429,72.9999,66.8759,61.93,242243.495,2021-05-18,15002139.64535
1621209600,63.0,88.7,76.0,66.9217,828561.836,2021-05-17,55448766.6202412
1621123200,54.2852,96.2,54.3203,76.0998,1189141.3,2021-05-16,90493415.10174
1621036800,54.1879,58.8953,58.3795,54.1879,16808.546,2021-05-15,910819.8097933999
1620950400,55.4787,59.9657,55.8373,58.458,28203.587,2021-05-14,1648725.2888459999
1620864000,53.4623,61.3238,58.049,55.8373,48489.632,2021-05-13,2707530.1288735997
1620777600,55.05,70.6931,65.5714,58.0486,71717.984,2021-05-12,4163128.5660224
1620691200,57.0,65.5714,59.8824,65.5714,56796.705,2021-05-11,3724239.462237
1620604800,59.35,68.4999,67.0704,59.7994,38512.433,2021-05-10,2303020.3859401997
1620518400,63.8004,70.8816,66.0695,67.0711,35577.999,2021-05-09,2386255.5287289005
1620432000,65.4978,69.6376,68.18,66.0864,34066.852,2021-05-08,2251355.6080127996
1620345600,65.8346,70.54,68.8668,68.1634,33803.91,2021-05-07,2304189.438894
1620259200,67.0606,71.9585,68.377,68.86,62502.568,2021-05-06,4303926.83248
1620172800,63.8034,69.766,65.31,68.3973,96312.073,2021-05-05,6587485.7506029
1620086400,65.25,73.8945,71.8197,65.32,50359.09,2021-05-04,3289455.7587999995
1620000000,65.7717,76.94,66.3137,71.8111,85241.577,2021-05-03,6121291.4101047
1619913600,65.1508,68.75,68.6785,66.3102,19377.094,2021-05-02,1284898.9785588
